Ecoregion descriptive information,,,,,,,,,,,,,,,i=Intensive Forestry,,,,,,,,,,,,,,,,,i=Extensive Forestry,,,,,,,,,,,,,,,,,i=Annual crops,,,,,,,,,,,,,,,,,i=Permanent crops,,,,,,,,,,,,,,,,,i=Pasture,,,,,,,,,,,,,,,,,i=Urban,,,,,,,,,,,,,,,,
ECO_CODE (j),ECOREGION_NAME,BIOME,ECOREGION_AREA (km2),Assigned habitat type,z,Sorg_mammals,Sorg_birds,Sorg_reptiles,Sorg_amphibians,Sorg_plants,Mamm_VS,Bird_VS,Amph_VS,Reptile_VS,Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j",Cfloc_count_mammals,"Cfloc_mammals, i,j",Cfloc_count_birds,"Cfloc_birds, i,j",Cfloc_count_reptiles,"Cfloc_reptiles, i,j",Cfloc_count_amphibians,"Cfloc_amphibians, i,j",Cfloc_count_plants,"Cfloc_plants, i,j","h_mammals,i,j","h_birds,i,j","h_reptiles,i,j","h_amphibians,i,j","h_plants,i,j","Aorg,i,j (Mha)","d_i,j"
AA0101,Admiralty Islands lowland rain forests,1,1510.289071,island,0.258,20,64,29,7,2000,0.04071475,0.026344022,0.053669852,0.062834904,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.000163968,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.097484484,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.008254819,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.019261243,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0102,Banda Sea Islands moist deciduous forests,1,4767.88937,island,0.258,19,225,53,2,1200,0.153810875,0.022107604,0.37109795,0.014999027,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.013806316,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.164480989,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.131898033,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.125378359,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.014441565,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0103,Biak-Numfoor rain forests,1,2291.473517,island,0.258,27,107,60,3,1500,0.083136532,0.034563719,0.272883592,0.001094126,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.01070449,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.127527511,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.01909694,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.018152985,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.006253938,
AA0104,Buru rain forests,1,8091.644298,island,0.258,24,178,24,5,1700,0.056543768,0.030351741,0.00328373,0.003759225,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.049394973,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.588465027,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.071091121,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.067577111,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0105,Central Range montane rain forests,1,170640.6928,island,0.258,139,348,79,127,7500,0.220809199,0.084857506,0.461481523,0.017841936,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.364679878,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,11.6088869,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.716870763,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,1.228346505,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.075146404,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.034005318,
AA0106,Halmahera rain forests,1,22678.38385,island,0.258,50,223,60,15,2000,0.053024294,0.041661388,0.322116826,0.031215864,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.162805969,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,1.939582383,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.070527917,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.067041746,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0107,Huon Peninsula montane rain forests,1,16024.50753,island,0.258,77,370,81,42,5500,0.025114267,0.009490015,0.173258881,0.008068043,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.001959718,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,1.165118298,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.109927997,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.256498659,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0.018616697,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.002080654,
AA0108,Japen rain forests,1,1814.182739,island,0.258,41,147,60,16,1500,0.016374338,0.001152494,0.664756273,0.000602405,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.00813006,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.09685714,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.008760481,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.008327453,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0110,Louisiade Archipelago rain forests,1,148.5033494,island,0.258,26,100,34,16,3200,0.023279346,0.018203117,0.328937731,0.020385294,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,1.65159E-05,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,0.009819254,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.001504369,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.003510195,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0,
AA0111,New Britain-New Ireland lowland rain forests,1,28711.1482,island,0.258,53,185,52,20,2700,0.068283497,0.053721617,0.222242369,0.031158107,11,0.335310159,20,0.468866702,0,0.424477408,0,0.424477408,36,0.495344554,0.205341582,0.086079037,0.117492247,0.117492247,0.070602111,0.003606229,,19,0.188834101,24,0.110703315,0,0.424477408,0,0.424477408,34,0.148322242,0.444336467,0.634609379,0.117492247,0.117492247,0.536721813,2.144024619,,5,0.2968,12,0.545105301,0,0.424477408,0,0.424477408,18,0.659195849,0.25543618,0.047214257,0.117492247,0.117492247,0.015417125,0.127916026,,14,0.25251733,28,0.563796095,0,0.424477408,1,0.424477408,18,0.495530755,0.32365468,0.040128032,0.117492247,0.117492247,0.070501197,0.298470728,,0,0.424477408,4,0.5429255,3,0.480769,0,0.424477408,7,0.507050714,0.117492247,0.048097237,0.078839991,0.117492247,0.064463074,0,,0,0.424477408,1,0.424477408,0,0.424477408,0,0.424477408,0,0.424477408,0.117492247,0.117492247,0.117492247,0.117492247,0.117492247,0.00592263,
