"ecoregion","TAXA","value"
"AA0101","Mammals",20
"AA0102","Mammals",19
"AA0103","Mammals",27
"AA0104","Mammals",24
"AA0105","Mammals",139
"AA0106","Mammals",50
"AA0107","Mammals",77
"AA0108","Mammals",41
"AA0109","Mammals",2
"AA0110","Mammals",26
"AA0111","Mammals",53
"AA0112","Mammals",44
"AA0113","Mammals",9
"AA0114","Mammals",0
"AA0115","Mammals",97
"AA0116","Mammals",68
"AA0117","Mammals",97
"AA0118","Mammals",47
"AA0119","Mammals",45
"AA0120","Mammals",137
"AA0121","Mammals",93
"AA0122","Mammals",119
"AA0123","Mammals",116
"AA0124","Mammals",125
"AA0125","Mammals",39
"AA0126","Mammals",14
"AA0127","Mammals",30
"AA0128","Mammals",48
"AA0201","Mammals",51
"AA0202","Mammals",7
"AA0203","Mammals",17
"AA0204","Mammals",40
"AA0401","Mammals",0
"AA0402","Mammals",87
"AA0403","Mammals",1
"AA0404","Mammals",1
"AA0405","Mammals",2
"AA0406","Mammals",1
"AA0407","Mammals",2
"AA0408","Mammals",1
"AA0409","Mammals",67
"AA0410","Mammals",1
"AA0411","Mammals",34
"AA0412","Mammals",35
"AA0413","Mammals",33
"AA0414","Mammals",1
"AA0701","Mammals",65
"AA0702","Mammals",106
"AA0703","Mammals",78
"AA0704","Mammals",82
"AA0705","Mammals",106
"AA0706","Mammals",79
"AA0707","Mammals",78
"AA0708","Mammals",45
"AA0709","Mammals",64
"AA0801","Mammals",0
"AA0802","Mammals",38
"AA0803","Mammals",59
"AA1001","Mammals",41
"AA1002","Mammals",28
"AA1003","Mammals",1
"AA1101","Mammals",0
"AA1201","Mammals",36
"AA1202","Mammals",39
"AA1203","Mammals",27
"AA1204","Mammals",29
"AA1205","Mammals",33
"AA1206","Mammals",39
"AA1207","Mammals",52
"AA1208","Mammals",43
"AA1209","Mammals",46
"AA1210","Mammals",39
"AA1301","Mammals",45
"AA1302","Mammals",41
"AA1303","Mammals",29
"AA1304","Mammals",58
"AA1305","Mammals",39
"AA1306","Mammals",30
"AA1307","Mammals",47
"AA1308","Mammals",54
"AA1309","Mammals",52
"AA1310","Mammals",50
"AA1401","Mammals",38
"AT0101","Mammals",228
"AT0102","Mammals",161
"AT0103","Mammals",144
"AT0104","Mammals",115
"AT0105","Mammals",5
"AT0106","Mammals",104
"AT0107","Mammals",158
"AT0108","Mammals",192
"AT0109","Mammals",159
"AT0110","Mammals",122
"AT0111","Mammals",181
"AT0112","Mammals",132
"AT0113","Mammals",3
"AT0114","Mammals",128
"AT0115","Mammals",55
"AT0116","Mammals",74
"AT0117","Mammals",87
"AT0118","Mammals",104
"AT0119","Mammals",97
"AT0120","Mammals",6
"AT0121","Mammals",123
"AT0122","Mammals",96
"AT0123","Mammals",125
"AT0124","Mammals",201
"AT0125","Mammals",172
"AT0126","Mammals",192
"AT0127","Mammals",10
"AT0128","Mammals",111
"AT0129","Mammals",130
"AT0130","Mammals",171
"AT0201","Mammals",4
"AT0202","Mammals",70
"AT0203","Mammals",87
"AT0701","Mammals",169
"AT0702","Mammals",118
"AT0703","Mammals",0
"AT0704","Mammals",243
"AT0705","Mammals",185
"AT0706","Mammals",145
"AT0707","Mammals",204
"AT0708","Mammals",108
"AT0709","Mammals",119
"AT0710","Mammals",76
"AT0711","Mammals",212
"AT0712","Mammals",222
"AT0713","Mammals",154
"AT0714","Mammals",133
"AT0715","Mammals",169
"AT0716","Mammals",180
