"ecoregion","TAXA","value"
"AA0101","Mammals",0.0407147496384166
"AA0102","Mammals",0.153810874937066
"AA0103","Mammals",0.0831365323218615
"AA0104","Mammals",0.0565437675363075
"AA0105","Mammals",0.220809198696381
"AA0106","Mammals",0.0530242939050028
"AA0107","Mammals",0.0251142671186377
"AA0108","Mammals",0.0163743375840998
"AA0109","Mammals",0
"AA0110","Mammals",0.0232793457486541
"AA0111","Mammals",0.0682834969334602
"AA0112","Mammals",0.044857582543955
"AA0113","Mammals",0.347588682937911
"AA0114","Mammals",0
"AA0115","Mammals",0.0545973719424581
"AA0116","Mammals",0.110169206994346
"AA0117","Mammals",0.0525350066368643
"AA0118","Mammals",0.170508736507123
"AA0119","Mammals",0.2633875538482
"AA0120","Mammals",0.0993298698192766
"AA0121","Mammals",0.0338293173082746
"AA0122","Mammals",0.0376397165676503
"AA0123","Mammals",0.204157779425071
"AA0124","Mammals",0.289781424865265
"AA0125","Mammals",0.0886073878989474
"AA0126","Mammals",0.119158441490398
"AA0127","Mammals",0.182711086490213
"AA0128","Mammals",0.083138817003704
"AA0201","Mammals",0.141986739176817
"AA0202","Mammals",0.0814983025687006
"AA0203","Mammals",0.0165307663516268
"AA0204","Mammals",0.175926030364329
"AA0401","Mammals",0
"AA0402","Mammals",0.0864763891054202
"AA0403","Mammals",0.0363225423916892
"AA0404","Mammals",0.106043786951061
"AA0405","Mammals",0.356635367810088
"AA0406","Mammals",0.201691877084892
"AA0407","Mammals",0.00285471919938653
"AA0408","Mammals",0.0255510865242192
"AA0409","Mammals",0.0791978554896595
"AA0410","Mammals",0.0174566657310853
"AA0411","Mammals",0.0397086338925221
"AA0412","Mammals",0.0370980403264786
"AA0413","Mammals",0.0526232466069294
"AA0414","Mammals",0.0223921068969618
"AA0701","Mammals",0.0961212639439485
"AA0702","Mammals",0.0451609957866766
"AA0703","Mammals",0.0497809741406923
"AA0704","Mammals",0.0332896402967234
"AA0705","Mammals",0.0252245155805231
"AA0706","Mammals",0.071970510817927
"AA0707","Mammals",0.0326069384882209
"AA0708","Mammals",0.0385659892539173
"AA0709","Mammals",0.0134014515788797
"AA0801","Mammals",0
"AA0802","Mammals",0.0300158794108513
"AA0803","Mammals",0.0306946252477646
"AA1001","Mammals",0.0310787826159622
"AA1002","Mammals",0.211859456850429
"AA1003","Mammals",0.0630016465751583
"AA1101","Mammals",0
"AA1201","Mammals",0.0130894908023591
"AA1202","Mammals",0.0679409945180795
"AA1203","Mammals",0.00833228739495182
"AA1204","Mammals",0.030044057287671
"AA1205","Mammals",0.00644853112220633
"AA1206","Mammals",0.0296090928663282
"AA1207","Mammals",0.0300016834086069
"AA1208","Mammals",0.0073568926902943
"AA1209","Mammals",0.0265234223342789
"AA1210","Mammals",0.0814611452592418
"AA1301","Mammals",0.0150704814433273
"AA1302","Mammals",0.0517830761312024
"AA1303","Mammals",0.0174322892441421
"AA1304","Mammals",0.0465030201560221
"AA1305","Mammals",0.0431050548765921
"AA1306","Mammals",0.0172494095373552
"AA1307","Mammals",0.0307809420730698
"AA1308","Mammals",0.051838731835207
"AA1309","Mammals",0.0358201650545413
"AA1310","Mammals",0.0211742163591418
"AA1401","Mammals",0.0137899416016804
"AT0101","Mammals",0.0788933086790215
"AT0102","Mammals",0.0349936191047086
"AT0103","Mammals",0.0820548798387861
"AT0104","Mammals",0.0615425382314069
"AT0105","Mammals",0.454543327783846
"AT0106","Mammals",0.00871080785130881
"AT0107","Mammals",0.0576296601431708
"AT0108","Mammals",0.0333584230940139
"AT0109","Mammals",0.0432482853157153
"AT0110","Mammals",0.014566947678817
"AT0111","Mammals",0.0638240860932447
