"TAXA","ecoregions","allLUType","value"
"Amphibians","AA0101","Cur0",1
"Amphibians","AA0101","CurC",0.413440210495114
"Amphibians","AA0101","CurC_L",0.949880057665728
"Amphibians","AA0101","CurC_M",0.641921758490965
"Amphibians","AA0101","CurNC",0.413440210495114
"Amphibians","AA0101","CurNC_L",0.949880057665728
"Amphibians","AA0101","CurNC_M",0.641921758490965
"Amphibians","AA0101","PriFor",1
"Amphibians","AA0102","Cur0",1
"Amphibians","AA0102","CurC",0.413440210495114
"Amphibians","AA0102","CurC_L",0.949880057665728
"Amphibians","AA0102","CurC_M",0.641921758490965
"Amphibians","AA0102","CurNC",0.413440210495114
"Amphibians","AA0102","CurNC_L",0.949880057665728
"Amphibians","AA0102","CurNC_M",0.641921758490965
"Amphibians","AA0102","PriFor",1
"Amphibians","AA0103","Cur0",1
"Amphibians","AA0103","CurC",0.413440210495114
"Amphibians","AA0103","CurC_L",0.949880057665728
"Amphibians","AA0103","CurC_M",0.641921758490965
"Amphibians","AA0103","CurNC",0.413440210495114
"Amphibians","AA0103","CurNC_L",0.949880057665728
"Amphibians","AA0103","CurNC_M",0.641921758490965
"Amphibians","AA0103","PriFor",1
"Amphibians","AA0104","Cur0",1
"Amphibians","AA0104","CurC",0.413440210495114
"Amphibians","AA0104","CurC_L",0.949880057665728
"Amphibians","AA0104","CurC_M",0.641921758490965
"Amphibians","AA0104","CurNC",0.413440210495114
"Amphibians","AA0104","CurNC_L",0.949880057665728
"Amphibians","AA0104","CurNC_M",0.641921758490965
"Amphibians","AA0104","PriFor",1
"Amphibians","AA0105","Cur0",1
"Amphibians","AA0105","CurC",0.413440210495114
"Amphibians","AA0105","CurC_L",0.949880057665728
"Amphibians","AA0105","CurC_M",0.641921758490965
"Amphibians","AA0105","CurNC",0.413440210495114
"Amphibians","AA0105","CurNC_L",0.949880057665728
"Amphibians","AA0105","CurNC_M",0.641921758490965
"Amphibians","AA0105","PriFor",1
"Amphibians","AA0106","Cur0",1
"Amphibians","AA0106","CurC",0.413440210495114
"Amphibians","AA0106","CurC_L",0.949880057665728
"Amphibians","AA0106","CurC_M",0.641921758490965
"Amphibians","AA0106","CurNC",0.413440210495114
"Amphibians","AA0106","CurNC_L",0.949880057665728
"Amphibians","AA0106","CurNC_M",0.641921758490965
"Amphibians","AA0106","PriFor",1
"Amphibians","AA0107","Cur0",1
"Amphibians","AA0107","CurC",0.413440210495114
